X,Y,OBJECTID,TYPE_BANK,STANDPLAATS,WIJK
191243.410100002,441790.269400001,1299,Bank,Trottoir,Malburgen-Oost (Zuid)
189055.209899999,445291.696600001,1300,Bank,Speeltuin,Burgemeesterswijk/Hoogkamp
192766.024300002,444088.668499999,1301,Bank,Park,Presikhaaf-West
192777.087499999,443924.3409,1302,Bank,Park,Presikhaaf-West
191429.398899999,443924.236400001,1303,Bank,Speeltuin,Spijkerkwartier
191536.947700001,444964.817000002,1304,Bank,Trottoir,Klarendal
191538.3235,444968.676600002,1305,Bank,Trottoir,Klarendal
192144.3257,446103.278499998,1306,Bank,Trottoir,Monnikenhuizen
192157.027399998,446108.665399998,1307,Bank,Trottoir,Monnikenhuizen
192150.751499999,446085.9276,1308,Bank,Trottoir,Monnikenhuizen
192142.784200002,446091.823100001,1309,Bank,Trottoir,Monnikenhuizen
191937.0229,440731.605799999,1310,Bank,Speeltuin,Malburgen-Oost (Zuid)
191946.9441,440730.633699998,1311,Bank,Speeltuin,Malburgen-Oost (Zuid)
191970.778200001,440701.556299999,1312,Bank,Speeltuin,Malburgen-Oost (Zuid)
191889.386700001,440941.4012,1313,Bank,Park,Malburgen-Oost (Zuid)
191469.763900001,441946.659000002,1314,Picknickbank,Speeltuin,Malburgen-Oost (Noord)
191679.025899999,443282.2608,1315,Bank,Trottoir,Arnhemse Broek
191675.211199999,443354.5295,1316,Bank,Trottoir,Arnhemse Broek
191687.8444,443181.348299999,1317,Bijzondere bank,Trottoir,Arnhemse Broek
191686.496399999,443153.394299999,1318,Bank,Trottoir,Arnhemse Broek
191666.695999999,443160.1118,1319,Bank,Trottoir,Arnhemse Broek
191605.0088,443084.814199999,1320,Bank,Trottoir,Arnhemse Broek
191612.103700001,443086.1393,1321,Bank,Trottoir,Arnhemse Broek
191618.1807,443063.451900002,1322,Bank,Trottoir,Arnhemse Broek
191620.235100001,443063.928300001,1323,Bank,Trottoir,Arnhemse Broek
191614.52,443086.544599999,1324,Bank,Trottoir,Arnhemse Broek
191687.208299998,443151.677499998,1325,Bank,Trottoir,Arnhemse Broek
193779.771000002,443567.615499999,1326,Bank,Trottoir,Presikhaaf-West
193647.5491,443612.034400001,1327,Bank,Trottoir,Presikhaaf-West
194028.2289,444096.946400002,1328,Bijzondere bank,Trottoir,Presikhaaf-Oost
193804.229899999,444287.7291,1329,Bank,Park,Presikhaaf-Oost
193805.4298,444307.8686,1330,Bank,Park,Presikhaaf-Oost
193808.238400001,444309.3616,1331,Bank,Park,Presikhaaf-Oost
193809.942299999,444329.614799999,1332,Bank,Park,Presikhaaf-Oost
193812.575399999,444330.425000001,1333,Bank,Park,Presikhaaf-Oost
193785.823199999,444317.8431,1334,Bank,Park,Presikhaaf-Oost
